Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
CANON ST{ROUTE 209},POINT LOMA AVE,ULLMAN ST,9600,9600,9600,11600,8600
CANON ST{ROUTE 209},ULLMAN ST,TALBOT ST,8500,8500,8500,10800,10800
CANON ST{ROUTE 209},TALBOT ST,CATALINA BLVD,9600,9600,9600,9100,8700
CAPRICORN WAY,CAMINO RUIZ,WESTONHILL DR,7700,7700,6200,7900,7900
CAPRICORN WAY,WESTONHILL DR,POLARIS DR,7100,7100,7100,7800,7800
CAPRICORN WAY,POLARIS DR,BLACK MOUNTAIN RD,13900,13900,13900,15200,9900
CAPRICORN WAY,BLACK MOUNTAIN RD,WESTVIEW PKWY,5200,5200,5200,5200,5200
CARDENO DR,NAUTILUS ST,VIA CABRERA,5800,5800,5800,5800,5800
CARDENO DR,VIA CABRERA,ALTA LA JOLLA DR,5600,5600,5600,5400,5400
CARDIFF ST,CITY LIMITS,JAMACHA RD,9200,9200,9200,9700,9700
CARDIFF ST,JAMACHA RD,SAN VICENTE ST,7600,8800,8800,8800,8800
CARDIFF ST,SAN VICENTE ST,SKYLINE DR,5400,5300,5300,5300,5100
CARDINAL RD,GENESEE AVE,MACAW LN,7300,7300,7300,5400,5400
CARGILL AVE,DECORO ST,ARRIBA ST,5900,5900,5900,6300,6300
CARMEL CANYON RD,DEL MAR HEIGHTS RD,CARMEL KNOLLS DR,5700,5700,5800,5800,5800
CARMEL CANYON RD,CARMEL KNOLLS DR,CARMEL COUNTRY RD,12000,12000,12000,11800,11800
CARMEL COUNTRY RD,DEL MAR HEIGHTS RD,TOWNSGATE DR,15800,15800,15800,13700,13500
CARMEL COUNTRY RD,TOWNSGATE DR,CARMEL CREEK RD,12400,12400,12400,12600,12600
CARMEL COUNTRY RD,CARMEL CREEK RD,CARMEL CANYON RD,9600,9600,9600,9600,9300
CARMEL COUNTRY RD,CARMEL CANYON RD,ROUTE 56,19900,19900,19900,16700,16700
CARMEL CREEK RD,PASEO MONTANAS,CARMEL COUNTRY RD,4900,4900,4900,4800,4800
CARMEL CREEK RD,CARMEL COUNTRY RD,CARMEL GROVE RD,13000,13000,13000,11900,11900
CARMEL CREEK RD,CARMEL GROVE RD,CARMEL VALLEY RD,14700,14700,14700,14000,16300
CARMEL GROVE RD,CARMEL VIEW RD,CARMEL CREEK RD,3700,3700,3700,4600,4600
CARMEL KNOLLS DR,CARMEL CANYON RD,ASHLEY FALLS DR,6000,6000,6000,7800,7800
CARMEL MOUNTAIN RD,SORRENTO VALLEY RD,VISTA SORRENTO PKWY,25500,25500,25500,28300,28300
CARMEL MOUNTAIN RD,VISTA SORRENTO PKWY,EL CAMINO REAL,18600,18600,18600,22000,22000
CARMEL MOUNTAIN RD,SUNDANCE AVE (W),TWIN TRAILS DR,11700,11700,11700,11700,11700
CARMEL MOUNTAIN RD,TWIN TRAILS DR,SUNDANCE AVE (E),6900,6900,8100,8100,8100
CARMEL MOUNTAIN RD,SUNDANCE AVE (E),BLACK MOUNTAIN RD,6400,6400,4600,8100,8100
CARMEL MOUNTAIN RD,BLACK MOUNTAIN RD,SUNDEVIL WY,13500,13500,13500,13300,13300
CARMEL MOUNTAIN RD,SUNDEVIL WY,PASEO MONTALBAN,14400,14400,18200,18200,18200
CARMEL MOUNTAIN RD,PASEO MONTALBAN,RANCHO PENASQUITOS BLVD,22200,22200,21800,21800,21800
CARMEL MOUNTAIN RD,RANCHO PENASQUITOS BLVD,PENASQUITOS DR,16100,25200,25200,16300,16100
CARMEL MOUNTAIN RD,PENASQUITOS DR,INTERSTATE 15,25000,25000,25000,25000,25000
CARMEL MOUNTAIN RD,INTERSTATE 15,RANCHO CARMEL DR (W),47900,47900,47900,44900,44900
CARMEL MOUNTAIN RD,RANCHO CARMEL DR (W),HIGHLAND RANCH RD,32400,32900,32900,32900,34600
CARMEL MOUNTAIN RD,HIGHLAND RANCH RD,CAMINO DEL NORTE,35000,23600,23600,32800,29900
CARMEL VALLEY RD,VIA MAR VALLE,CAMINITO DEL BARCO,9600,9600,9600,10100,10100
CARMEL VALLEY RD,CAMINITO DEL BARCO,DEL MAR SCENIC PKWY,9500,9500,9500,10500,10400
CARMEL VALLEY RD,DEL MAR SCENIC PKWY,SORRENTO VALLEY RD,14100,14100,14100,14100,12400
CARMEL VALLEY RD,SORRENTO VALLEY RD,INTERSTATE 5,13300,13300,13300,9900,9900
CARMEL VALLEY RD,INTERSTATE 5,EL CAMINO REAL,44900,41600,41600,41600,43200
CARMEL VALLEY (RT 56 EXT),CARMEL COUNTRY RD,BLACK MOUNTAIN RD(OLD),11600,11600,11600,11600,11600
CARMEL VALLEY RD,RANCHO SANTA FE FARMS RD,CAMINITO VISTANA,9800,9800,9800,11300,11300
CARMEL VALLEY RD,CAMINITO VISTANA,CAMINO SUR,10200,10200,10200,10800,10800
CARMEL VALLEY RD,CAMINO SUR,BLACK MOUNTAIN RD,11600,11600,11600,12600,12600
CARROLL CANYON RD,SCRANTON RD,CARROLL RD,6600,6600,9300,9300,9300
CARROLL CANYON RD,BLACK MOUNTAIN RD,INTERSTATE 15,13400,13400,13400,11600,16000
CARROLL CANYON RD,INTERSTATE 15,BUSINESS PARK AVE,16800,16800,16800,17200,17200
CARROLL CANYON RD,BUSINESS PARK AVE,SCRIPPS RANCH BLVD,13200,12200,12200,12200,12100
CARROLL RD,CARROLL CANYON RD,CAMINO SANTA FE,14800,6500,6500,6500,7900
CARROLL RD,CAMINO SANTA FE,DISTRIBUTION AVE,10000,10000,10000,6400,6400
CARROLL RD,DISTRIBUTION AVE,MIRAMAR RD,13700,13700,13700,6400,12400
CASS ST,TURQUOISE ST,LORING ST,6400,6400,6400,3000,6500
CASS ST,LORING ST,GARNET AVE,7500,6400,6400,6400,8100
CASS ST,GARNET AVE,GRAND AVE,9600,9600,9600,8700,5700
CASS ST,GRAND AVE,PACIFIC BEACH DR,3600,3600,3600,2700,4100
CATALINA BLVD,NIMITZ BLVD,VOLTAIRE ST,19100,19100,19100,19900,16100
CATALINA BLVD,VOLTAIRE ST,NARRAGANSETT AVE,13800,13800,13800,17100,17100
CATALINA BLVD,NARRAGANSETT AVE,CHATSWORTH BLVD,11400,11800,11800,11800,11400
CATALINA BLVD,CHATSWORTH BLVD,SANTA BARBARA ST/HILL ST,19600,19600,19600,20100,20100
CATALINA BLVD,SANTA BARBARA ST/HILL ST,TALBOT ST,14700,15200,15200,15200,17200
CATALINA BLVD,TALBOT ST,CANON ST,12000,12000,12000,12000,12000
CATALINA BLVD,CANON ST,MILITARY GATE,15100,15100,15100,15100,13300
CATOCTIN DR,63RD ST,MONTEZUMA RD,2300,2300,2300,2200,2200
CEDAR ST,PACIFIC HWY,1ST AVE,5100,5100,5100,3700,2800
CEDAR ST,2ND AVE,6TH AVE,6700,6700,6800,6100,6100
CELIA VISTA DR,VISTA GRANDE DR,ARAGON DR,2700,2700,2700,2700,2700
CELIA VISTA DR,ARAGON DR,69TH ST,2800,2800,2800,2800,2800
CENTRAL AVE,UNIVERSITY AVE,REDWOOD ST,5500,5500,5500,5700,5700
CESAR CHAVEZ PKWY,HARBOR DR,MAIN ST,10700,10700,10700,12700,11200
CESAR CHAVEZ PKWY,MAIN ST,NATIONAL AVE,15200,15200,15200,14200,14100
CESAR CHAVEZ PKWY,NATIONAL AVE,INTERSTATE 5,15900,15800,15800,15800,15800
CESAR CHAVEZ PKWY,INTERSTATE 5,COMMERCIAL ST,5900,5700,5700,5700,5700
CHANDLER DR,DOLIVA DR,MT ABERNATHY AVE,4900,4900,4900,3600,3600
CHANDLER DR,MT ABERNATHY AVE,CANNINGTON DR,3400,3400,3400,3800,3800
CHANDLER DR/CHARGER BL,CANNINGTON DR,BALBOA AVE,5100,5100,5100,5100,5900
CHARMANT DR,LEBON DR,CAMINITO VALERIANO,3800,3800,3800,3800,3800
CHARMANT DR,CAMINITO VALERIANO,LA JOLLA COLONY DR,2700,2700,2700,2200,2200
CHATEAU DR,GENESEE AVE,DERRICK DR,2100,2100,2100,1900,1900
CHATEAU DR,DERRICK DR,MT ABERNATHY AVE,2500,2500,2500,2200,2200
CHATSWORTH BLVD,CATALINA BLVD,GARRISON ST,8800,8800,8800,8700,8700
CHATSWORTH BLVD,GARRISON PLACE,NARRAGANSETT AVE,10100,10100,10100,10100,10100
CHATSWORTH BLVD,NARRAGANSETT AVE,NIMITZ BLVD,1600,1600,1600,18900,12700
CHATSWORTH BLVD,NIMITZ BLVD,VOLTAIRE ST (N),12600,12600,12600,13300,13300
CHATSWORTH BLVD,VOLTAIRE ST (N),HYACINTH DR,13800,13800,13800,13900,13900
CHATSWORTH BLVD/LYTTON ST,HYACINTH DR,ROSECRANS ST,13400,13300,13300,14300,12100
CHILDRENS WAY,BIRMINGHAM WAY,FROST ST,7300,6600,6600,6600,6000
CHOLLAS PKWY,54TH ST,UNIVERSITY AVE,4900,4900,4900,4900,4900
CHOLLAS RD/REDWOOD ST,EUCLID AVE,54TH ST,4700,4700,4800,4800,2800
CHURCHWARD ST/58TH ST,EUCLID AVE,SKYLINE DR,3800,4400,2700,2700,4200
CLAIREMONT DR,CLAIREMONT MESA BLVD (E),MERRIMAC AVE,11100,11100,11100,7800,7800
CLAIREMONT DR,MERRIMAC AVE,CLAIREMONT MESA BLVD (W),10700,10700,10700,9600,9600
CLAIREMONT DR,CLAIREMONT MESA BLVD (W),BALBOA AVE,21700,21700,21700,19900,19000
CLAIREMONT DR,BALBOA AVE,BURGENER BLVD,14800,14800,14800,13300,17900
CLAIREMONT DR,BURGENER BLVD,DENVER ST,24100,24100,24100,24100,24100
CLAIREMONT DR,DENVER ST,MORENA BLVD,28900,28900,28900,28900,28900
CLAIREMONT DR,MORENA BLVD,INTERSTATE 5,29000,29000,29000,30500,30500
CLAIREMONT DR,INTERSTATE 5,EAST MISSION BAY DR,31500,20200,20200,20200,20200
CLAIREMONT MESA BLVD,LUNA AVE,MORAGA AVE,16300,16600,16600,16600,16600
CLAIREMONT MESA BLVD,MORAGA AVE,CLAIREMONT DR,17700,17700,17700,14500,14500
CLAIREMONT MESA BLVD,CLAIREMONT DR,KLEEFIELD AVE,23800,23800,23800,20100,20100
CLAIREMONT MESA BLVD,KLEEFIELD AVE,GENESEE AVE,31100,31100,31100,27100,26400
CLAIREMONT MESA BLVD,GENESEE AVE,DIANE AVE,23000,23000,22200,22200,22200
CLAIREMONT MESA BLVD,DIANE AVE,LIMERICK AVE,24900,27500,27500,27500,26500
CLAIREMONT MESA BLVD,LIMERICK AVE,INTERSTATE 805,37100,31500,31500,31500,28800
CLAIREMONT MESA BLVD,INTERSTATE 805,SHAWLINE ST,61400,61400,61400,61400,61400
CLAIREMONT MESA BLVD,SHAWLINE ST,CONVOY ST,28300,32200,32200,32200,30800
CLAIREMONT MESA BLVD,CONVOY ST,MERCURY ST,30200,30200,30200,29600,28900
CLAIREMONT MESA BLVD,MERCURY ST,KEARNY MESA RD,29900,30300,30300,38200,38200
CLAIREMONT MESA BLVD,KEARNY MESA RD,ROUTE 163,42100,42100,42100,42700,42700
CLAIREMONT MESA BLVD,ROUTE 163,KEARNY VILLA RD,25900,25900,25900,25900,25900
CLAIREMONT MESA BLVD,KEARNY VILLA RD,RUFFIN RD,25200,25200,25200,24700,21900
CLAIREMONT MESA BLVD,RUFFIN RD,INTERSTATE 15,24500,24500,24500,26500,26000
CLAIREMONT MESA BLVD,INTERSTATE 15,ANTIGUA BLVD,20500,20500,20500,17900,17900
CLAIREMONT MESA BLVD,ANTIGUA BLVD,SANTO RD,14000,14000,14800,14800,14800
CLAIREMONT MESA BLVD,SANTO RD,RUEDA DR,10700,9000,9300,9300,9300
CLEVELAND AVE,MADISON AVE,MEADE AVE,2600,2600,2400,2400,2400
CLEVELAND AVE,MEADE AVE,WASHINGTON ST,4900,4800,5200,5200,2700
CLEVELAND AVE,WASHINGTON ST,UNIVERSITY AVE,7600,7400,6200,6200,8000
COLE ST,APPLETON ST,FOND DU LAC AVE,4200,3600,3600,3600,3600
COLE ST,FOND DU LAC AVE,CLAIREMONT DR,3900,3900,3900,4100,4100
COLLEGE AVE,NAVAJO RD,DEL CERRO BLVD,20100,20100,20100,20100,20100
COLLEGE AVE,DEL CERRO BLVD,INTERSTATE 8,37900,37900,37300,37300,37300
COLLEGE AVE,ALVARADO RD/INTERSTATE 8,MONTEZUMA RD,28500,28500,31000,35900,35900
COLLEGE AVE,MONTEZUMA RD,EL CAJON BLVD,28200,28200,27200,20100,20100
COLLEGE AVE,EL CAJON BLVD,UNIVERSITY AVE,21200,22900,22900,20400,31100
COLLEGE AVE,UNIVERSITY AVE,STREAMVIEW DR,24800,24900,24900,24900,22900
COLLEGE AVE,STREAMVIEW DR,COLLEGE GROVE DR,30300,30300,29300,29300,29300
COLLEGE AVE,COLLEGE GROVE DR,ROUTE 94,33100,33100,33100,33100,33100
COLLEGE GROVE DR,54TH ST,CAMINITO CHOLLAS,8600,8600,8900,9100,9100
COLLEGE GROVE DR,CAMINITO CHOLLAS,COLLEGE GROVE WAY,9500,8900,8900,8900,8900
COLLEGE GROVE DR,COLLEGE GROVE WAY,COLLEGE AVE,8900,8900,13500,11300,11300
COLLEGE GROVE WY,COLLEGE GROVE DR,ROUTE 94,7800,7800,6600,6600,6600
COLLWOOD BLVD,MONTEZUMA RD,MONROE AVE,29000,29000,29000,23200,23200
COLLWOOD BLVD,MONROE AVE,54TH ST,21600,21600,19400,20000,20000
COLUMBIA ST,JUNIPER ST,HAWTHORN ST,3400,3400,3400,3700,3700
COLUMBIA ST,HAWTHORN ST,GRAPE ST,5800,6300,6300,6300,6300
COLUMBIA ST,GRAPE ST,ASH ST,3200,3200,3200,3200,3300
COLUMBIA ST,ASH ST,A ST,6500,6500,4800,4800,4800
COLUMBIA ST,A ST,B ST,8500,8500,8500,5800,5800
COLUMBIA ST,B ST,C ST,5100,5100,3200,5300,5300
COLUMBIA ST,C ST,BROADWAY,5000,5000,5000,5300,5300
COMMERCE AVE,MIRAMAR RD,CAMINO SANTA FE,46000,46000,46000,4200,4500
COMMERCIAL ST,NATIONAL AVE,KEARNEY AVE,1600,1600,1600,2900,2900
COMSTOCK ST,ULRIC ST (N),LINDA VISTA RD,4700,4700,4700,4900,4900
COMSTOCK ST,LINDA VISTA RD,ULRIC ST (S),4900,4900,4900,4900,4100
CONFERENCE WAY,CARMEL MOUNTAIN RD,WORLD TRADE DR,5400,4100,4100,4100,5900
CONGRESS ST,WALLACE ST,SAN DIEGO AVE,4300,4300,4300,5300,4700
CONVOY CT,SHAWLINE ST,RUFFNER ST,4600,4600,4600,5100,5400
CONVOY CT,RUFFNER ST,CONVOY ST,6000,4400,4400,4400,4400
CONVOY ST,N END,ROUTE 52,5200,5200,5200,5700,5700
CONVOY ST,ROUTE 52,CONVOY CT,18700,18700,18700,18700,24700
CONVOY ST,CONVOY CT,CLAIREMONT MESA BLVD,16500,16500,16500,16500,18100
CONVOY ST,CLAIREMONT MESA BLVD,BALBOA AVE,23700,23500,23500,22100,20400
CONVOY ST,BALBOA AVE,OTHELLO AVE,27600,28200,28200,28200,26600
CONVOY ST,OTHELLO AVE,KEARNY MESA RD,26500,26500,22600,22600,22600
CONVOY ST,KEARNY MESA RD,AERO DR,30000,30000,23800,23800,23800
COPLEY DR,HICKMAN FIELD DR,COPLEY PARK PLACE,9700,9700,9700,11300,11800
COPLEY PARK PLACE,RUFFNER ST/COPLEY DR,CONVOY ST,9400,10300,10300,10300,10300
CORONADO AVE,BACON ST,SUNSET CLIFFS BLVD,1600,1600,1600,1400,1400
CORONADO AVE (SO.BAY),15TH ST (SO.BAY),SATURN BLVD,26900,26900,26900,21200,24100
CORONADO AVE (SO.BAY),SATURN BLVD,HOLLISTER ST,28200,28300,28300,28300,28300
CORONADO AVE (SO.BAY),HOLLISTER ST,INTERSTATE 5,27700,27300,27300,27300,27300
CORONADO AVE (SO.BAY),INTERSTATE 5,OUTER RD,27400,27400,27400,19700,19700
CORONADO AVE (SO.BAY),OUTER RD,25TH ST (SO.BAY),20800,20800,21500,21500,21500
CORONADO AVE (SO.BAY),25TH ST (SO.BAY),BEYER BLVD,17800,17800,17800,15500,13500
CORONADO AVE (SO.BAY),BEYER BLVD,BEYER WAY,4900,5500,5500,3800,3800
CORONADO BRIDGE/ROUTE 75,INTERSTATE 5,CITY LIMITS,79100,79100,79100,79100,79100
COWLES MOUNTAIN BLVD,END,BOULDER LAKE AVE,1700,1700,1500,1500,1500
COWLES MOUNTAIN BLVD,BOULDER LAKE AVE,NAVAJO RD,3000,3000,3000,3000,3000
COWLES MOUNTAIN BLVD,NAVAJO RD,SAN CARLOS DR,3800,3800,4200,4200,4200
COWLES MOUNTAIN BLVD,SAN CARLOS DR,JACKSON DR,2900,2900,2800,2800,2800
COWLES MOUNTAIN BLVD,JACKSON DR,EL PASO ST,1800,1800,1700,1700,1700
CRAWFORD ST,ZION AVE,TWAIN AVE,3000,3000,2800,2800,2800
CROWN POINT DR,INGRAHAM ST,LAMONT ST,7500,8100,8100,8100,5000
CURLEW ST,ROBINSON AVE,REYNARD WAY,1900,1900,1300,1300,1300
DAIRY MART RD,BEYER BLVD,SAN YSIDRO BLVD (W),14700,12700,12700,12700,12700
DAIRY MART RD,SAN YSIDRO BLVD (W),INTERSTATE 5,21700,18800,18800,18800,18800
DAIRY MART RD,INTERSTATE 5,SERVANDO AVE,13000,13800,13800,12700,12700
DAIRY MART RD,SERVANDO AVE,MONUMENT RD,10200,10200,10200,8400,10000
DALEY CENTER DR,AERO DR,GRANITE RIDGE DR,9400,9600,9600,9600,9600
DALEY CENTER DR,GRANITE RIDGE DR,STONECREST BLVD,5900,5900,5900,4900,4900
DAMON AVE,MISSION BAY DR,SANTA FE ST,4200,4200,4100,4100,4100
DATSUN ST,OTAY VALLEY RD,HERITAGE RD,9000,9000,9000,7500,8600
DECORO ST,GENESEE AVE,CARGILL AVE,7500,7500,7500,6100,6100
DEEP DELL RD,BROOKHAVEN RD,DEEP DELL CT,5500,5500,4300,4300,4300
DEEP DELL RD,DEEP DELL CT,PARADISE VALLEY RD,4900,5000,5000,5000,5700
DEL CERRO BLVD,WEST END,COLLEGE AVE,3200,3200,1600,1600,1600
DEL CERRO BLVD,COLLEGE BLVD,MADRA AVE,8700,8700,8600,8600,8600
DEL CERRO BLVD,MADRA AVE,LINFIELD AVE,2400,2400,2300,2300,2300
DEL MAR HEIGHTS RD,NOB AVENUE,MANGO DR,21400,21400,19600,19600,20600
DEL MAR HEIGHTS RD,MANGO DR,INTERSTATE 5,15700,15700,15700,33300,32800
DEL MAR HEIGHTS RD,INTERSTATE 5,HIGH BLUFF DR,48600,48600,48600,46500,47500
DEL MAR HEIGHTS RD,HIGH BLUFF DR,EL CAMINO REAL,35700,35700,34400,34400,47000
DEL MAR HEIGHTS RD,EL CAMINO REAL,CARMEL COUNTRY RD,27900,27900,27900,30500,26500
DEL MAR HEIGHTS RD,CARMEL COUNTRY RD,LANSDALE DR,21000,21000,16800,16800,22200
DEL MAR HEIGHTS RD,LANSDALE DR,CARMEL CANYON RD,14300,14300,14300,16800,14100
DEL MAR HEIGHTS RD,CARMEL CANYON RD,SEAGROVE ST,14600,14600,9700,9700,9700
DEL SOL BLVD,BEYER BLVD,BEYER WAY,8100,8100,8100,8500,8600
DEL SOL BLVD,BEYER WAY,PICADOR BLVD,10000,10000,10000,8100,7700
DEL SOL BLVD,PICADOR BLVD,PICCARD AVE,13700,13700,13700,11500,11500
DEL SOL BLVD,PICCARD AVE,TWINING AVE,10100,8800,8800,8800,8800
DEL SOL BLVD,TWINING AVE,INTERSTATE 805,7700,7700,7700,7000,7000
DEL SOL BLVD,INTERSTATE 805,END,7700,7700,7700,6700,6700
DELTA ST,VESTA ST,43RD ST,2000,2000,1900,1900,1900
DENVER ST,GESNER ST,CLAIREMONT DR,5500,5500,5500,5500,4700
DENVER ST,CLAIREMONT DR,INGULF ST,9000,9000,9000,9000,9000
DENVER ST,INGULF ST,MILTON ST,3100,3100,3100,3000,3000
DERRICK DR,TRIANA ST,CHATEAU DR,3400,3400,3400,3000,3000
DERRICK DR,CHATEAU DR,GENESEE AVE,6200,6200,6200,5300,5100
DIAMOND ST,INGRAHAM ST,LAMONT ST,3800,4100,3300,3300,4300
DIANE AVE,CLAIREMONT MESA BLVD,CONRAD AVE,6200,6200,6200,5100,6100
DIANE AVE,CONRAD AVE,SAN CLEMENTE CANYON PARK,3100,3100,3800,3800,3800
DISTRIBUTION AVE,CARROLL RD,MIRAMAR RD,5000,5000,5000,5000,3000
DIVISION ST,MAIN ST,NATIONAL CITY BLVD,15900,15900,15900,17800,17800
DIVISION ST,NATIONAL CITY BLVD,43RD ST/HIGHLAND AVE,13600,13600,13600,11800,11800
DIVISION ST,HARBISON AVE,61ST ST,9300,9300,9300,12900,12900
DIVISION ST,61ST ST,VINCA WAY,6600,6600,6600,6600,6600
DIVISION ST,VINCA WAY,PLAZA BLVD,5300,5300,5300,5600,5600
DOWDY DR,SILVERTON AVE,MIRAMAR RD,7700,7700,7900,7900,7900
DUENDA RD,MATINAL CIR,W BERNARDO DR,3900,4500,3400,3400,3400
E ST,6TH AVE,PARK BLVD,3200,3100,2100,2100,2700
E ST,PARK BLVD,17TH AVE,5900,5900,5900,5900,5900
EAST BEYER BLVD,OTAY MESA RD/BEYER BL,SAN YSIDRO BLVD (E),3800,6700,6700,6700,3100
EAST MISSION BAY DR,CLAIREMONT DR,SEA WORLD DR,4500,4500,4500,4500,5900
EASTGATE MALL,REGENTS RD,GENESEE AVE,5100,5100,5100,4300,4900
EASTGATE MALL,GENESEE AVE,INTERSTATE 805,10500,10500,12500,11500,11500
EASTGATE MALL,INTERSTATE 805,MIRAMAR RD,15900,15900,15900,13500,15000
EBERS ST,WEST POINT LOMA BLVD,NEWPORT AVE,7900,7900,7900,5100,5400
ECKSTROM AVE/HATHAWAY ST,BALBOA AVE,ASHFORD ST,8100,8100,8100,7300,7300
EL CAJON BLVD,PARK BLVD,FLORIDA ST,21000,21000,21000,20800,20800
EL CAJON BLVD,FLORIDA ST,TEXAS ST,23000,22900,22900,22900,21500
EL CAJON BLVD,TEXAS ST,UTAH ST,25700,27100,27100,27100,30700
EL CAJON BLVD,UTAH ST,30TH ST,33700,36200,29200,29200,32600
EL CAJON BLVD,30TH ST,INTERSTATE 805,39600,37900,39900,39900,35000
EL CAJON BLVD,INTERSTATE 805,35TH ST,31600,31600,27800,21600,21600
EL CAJON BLVD,35TH ST,40TH ST,21700,21700,21500,21500,21200
EL CAJON BLVD,40TH ST,MARLBOROUGH AVE,27000,27000,26300,24800,24800
EL CAJON BLVD,MARLBOROUGH AVE,43RD ST,30000,30000,30000,30000,27800
EL CAJON BLVD,43RD ST,FAIRMOUNT AVE,33700,33700,33700,24700,24700
EL CAJON BLVD,FAIRMOUNT AVE,EUCLID AVE,28600,28500,28500,28500,26100
EL CAJON BLVD,EUCLID AVE,54TH ST,24300,22700,25000,25000,20800
EL CAJON BLVD,54TH ST,COLLEGE AVE,22100,22500,22500,22500,18900
EL CAJON BLVD,COLLEGE AVE,63RD ST,22300,22300,17000,17000,17000
EL CAJON BLVD,63RD ST,ROLANDO BLVD,17700,17700,20600,20600,20600
EL CAJON BLVD,ROLANDO BLVD,MONTEZUMA RD,18600,18600,18000,18000,18000
EL CAJON BLVD,MONTEZUMA RD,70TH ST,20500,20500,22000,22000,22000
EL CAJON BLVD,70TH ST,HARBINSON AVE,17100,17100,17000,17000,17000
EL CAMINO REAL,CITY LIMIT,VIA DE LA VALLE,3500,3500,4800,4800,4800
EL CAMINO REAL,VIA DE LA VALLE,HALF MILE DR,15100,13100,13100,14400,16700
EL CAMINO REAL,HALF MILE DR,QUARTER MILE DR,12600,12600,12600,17900,17900
EL CAMINO REAL,QUARTER MILE DR,DEL MAR HEIGHTS RD,14300,14300,14500,13900,15600
EL CAMINO REAL,DEL MAR HEIGHTS RD,HIGH BLUFF DR,16900,16900,18100,18100,18100
EL CAMINO REAL,HIGH BLUFF DR,VALLEY CENTRE DR,19600,19600,19600,18900,18400
EL CAMINO REAL,VALLEY CENTRE DR,CARMEL VALLEY RD/ROUTE 56,27400,27400,27400,26900,25600
EL CAMINO REAL,ROUTE 56,CARMEL MOUNTAIN RD,15800,15800,15800,16300,16300
EL PRADO/PAN AMERICAN RD,6TH AVE,PRESIDENTS WAY,5900,6200,6200,6200,7600
ELM AVE,13TH ST,SATURN BLVD,3300,3800,3100,3700,3700
ELM ST,1ST AVE,4TH AVE,6400,6600,6600,6600,5800
ELM ST,4TH AVE,6TH AVE,9100,7600,7600,6300,6600
ENGINEER RD,RUFFNER ST,CONVOY ST,3700,3700,3700,3700,3700
ENGINEER RD,CONVOY ST,MERCURY ST,3900,4200,4200,4200,4200
ENGINEER RD,MERCURY ST,KEARNY MESA RD,5000,4400,4400,4400,4400
ENRICO FERMI DR,AIRWAY RD,SIEMPRE VIVA RD,4600,4600,4600,4900,4900
ENTERPRISE ST,SPORTS ARENA BLVD,MIDWAY DR,5100,5100,5100,4000,4000
ESCALA DR,BERNARDO CENTER DR,POMERADO RD,3400,3400,3400,3600,3600
EUCLID AVE,ADAMS AVE,MONROE AVE,2900,2900,2800,2800,2800
EUCLID AVE,MONROE AVE,EL CAJON BLVD,10100,10100,6900,6900,6900
EUCLID AVE,EL CAJON BLVD,ORANGE AVE,12000,12000,7500,7500,7500
EUCLID AVE,ORANGE AVE,UNIVERSITY AVE,10300,10300,9800,9800,9800
EUCLID AVE,UNIVERSITY AVE,WIGHTMAN ST,14600,14600,12200,12200,12200
EUCLID AVE,WIGHTMAN ST,HOME AVE,12200,12200,12200,12200,12200
EUCLID AVE,HOME AVE,54TH ST,8300,8300,8300,6200,6200
EUCLID AVE,54TH ST,FEDERAL BLVD,30900,26300,26400,26400,32700
EUCLID AVE,FEDERAL BLVD,ROUTE 94,34200,35100,35500,35500,40100
EUCLID AVE,ROUTE 94,MARKET ST,26700,25500,25400,25400,29300
EUCLID AVE,MARKET ST,IMPERIAL AVE,17700,17700,17600,22400,22400
EUCLID AVE,IMPERIAL AVE,LOGAN AVE,11400,11000,11000,13200,12000
EUCLID AVE,LOGAN AVE,CERVANTES AVE,10400,10400,10400,10400,12500
EVENING CREEK DR E,SABRE SPRINGS PKWY,MORNING CREEK DR N,3400,3400,3400,3400,3400
EVENING CREEK DR N,SABRE SPRINGS PKWY,SABRE HILL DR,3400,3400,3400,3400,3400
EVENING CREEK RD S,SABRE HILL DR,SABRE SPRINGS PKWY,3300,3300,3300,3300,3300
EXCHANGE PL,TORREY PINES RD,COUNTRY FAIRWAY RD,2400,2400,2400,2400,2400
EXECUTIVE DR,REGENTS RD,GENESEE AVE,3700,3700,3700,3400,3400
EXECUTIVE DR,GENESEE DR,EXECUTIVE WAY,7300,7300,7300,6700,6700
EXECUTIVE DR,EXECUTIVE WAY,TOWNE CENTRE DR,5500,5500,5500,5500,5500
EXECUTIVE WAY,EXECUTIVE DR,LA JOLLA VILLAGE RD,4300,4300,4300,4700,4700
F ST,PACIFIC HWY,KETTNER BLVD,800,800,500,500,500
F ST,4TH AVE,5TH AVE,7100,7300,7300,7300,7300
F ST,5TH AVE,8TH AVE,16600,14800,14800,10900,10900
F ST,8TH AVE,10TH AVE,13500,13500,13500,10400,10400
F ST,10TH AVE,11TH AVE,13300,13300,13300,13300,13300
F ST,11TH AVE,PARK BLVD,14900,14900,14900,14900,14900
F ST,PARK BLVD,16TH ST,16700,16700,15100,18600,18600
F ST,16TH ST,17TH ST,19100,19100,19100,11500,12200
F ST (RT 94 RAMP),17TH ST,INTERSTATE 5,23100,23100,23100,24900,24900
FAIRBROOK RD,POMERADO RD,SEMILLON BLVD,3900,3600,3600,3600,3800
